group,n_fovs,median,q1,q3,p_vs_ref,p_vs_ref_bh
neg_control,337,549.4986598551014,180.85261629761314,1191.6155583843865,,
S-UNT,751,2826.526802440751,2052.049051065232,3757.611325187365,3.513161849929777e-99,1.7565809249648883e-98
SLN1,122,2403.651173422696,1541.3312132400752,2909.381660637765,3.6822320255566013e-32,6.137053375927669e-32
SLHi,172,2377.6311527511016,1707.5202439467043,3372.837499779359,1.7314543722911332e-44,4.3286359307278327e-44
SE1,50,1734.5406535632974,1105.362095023141,2471.6789625770352,5.001321110241964e-09,6.251651387802454e-09
SE2,12,860.24551485209,639.228810713415,1700.925441707631,0.1217707677482509,0.12177076774825088
