group,n_orig,n_dist10,mean_orig,mean_dist10,ratio
neg_control,301,326,1.6617346938775508,0.9911773298276366,0.5964714665220043
S-UNT,704,709,4.597280150984822,3.5840122479040173,0.7795940491327804
SLN1,115,118,3.6828778467908903,3.0748553941350547,0.8349056151331108
SLHi,160,158,4.120874732905983,3.1057182269207586,0.7536550922358782
SE1,47,47,2.8535597381342064,2.3133251500272776,0.8106804701203978
SE2,11,11,1.7499999999999998,1.4772727272727273,0.8441558441558443
