threshold_px,threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
1.0,0.16129032258064516,neg_control,0.32019064124783364,0.4709066305818674,6.345644037855002,1.65695067264574
1.0,0.16129032258064516,S-UNT,0.4730947368421053,0.49092203631185477,82.7685099363279,11.465306122448979
1.0,0.16129032258064516,SLN1,0.49279448621553884,0.4863318499682136,40.89290810700601,6.0038167938931295
1.0,0.16129032258064516,SLHi,0.4558282208588957,0.46253925527142215,54.169164470514886,8.105454545454545
1.0,0.16129032258064516,SE1,0.4581545064377682,0.48009367681498827,22.209629282674218,3.6186440677966103
1.0,0.16129032258064516,SE2,0.45064377682403434,0.5111111111111111,12.89116995150621,2.1875
2.0,0.3225806451612903,neg_control,0.3409878682842288,0.4993646759847522,6.743249154199779,1.7183406113537119
2.0,0.3225806451612903,S-UNT,0.5273684210526316,0.5296606786427146,91.09289089497896,12.75458248472505
2.0,0.3225806451612903,SLN1,0.5350877192982456,0.5181498829039812,43.93324022349125,6.519083969465649
2.0,0.3225806451612903,SLHi,0.5116564417177915,0.5099920063948841,59.2962940432301,8.935714285714285
2.0,0.3225806451612903,SE1,0.5053648068669528,0.5265392781316348,23.847556694425133,3.925
2.0,0.3225806451612903,SE2,0.48354792560801146,0.5384615384615384,13.732246159114997,2.331034482758621
3.0,0.4838709677419355,neg_control,0.37045060658578854,0.5345029239766081,7.1183037404528005,1.8
3.0,0.4838709677419355,S-UNT,0.5890947368421052,0.5700092916875134,100.14519850650471,14.24745417515275
3.0,0.4838709677419355,SLN1,0.5924185463659147,0.5573770491803278,47.94559669915658,7.162878787878788
3.0,0.4838709677419355,SLHi,0.5805725971370144,0.5600563578724903,65.95105584705594,10.139285714285714
3.0,0.4838709677419355,SE1,0.5541845493562232,0.5653436592449177,26.13909322073963,4.304166666666666
3.0,0.4838709677419355,SE2,0.51931330472103,0.5647382920110193,14.309553479873582,2.4527027027027026
5.0,0.8064516129032258,neg_control,0.4016464471403813,0.5685005393743258,7.7223054013777785,1.8841463414634145
5.0,0.8064516129032258,S-UNT,0.6780631578947368,0.6201564828614009,112.03336244294083,16.349238578680204
5.0,0.8064516129032258,SLN1,0.6820175438596491,0.6132292145153881,53.3165887270721,8.153558052434457
5.0,0.8064516129032258,SLHi,0.6697341513292433,0.6143511450381679,74.23550944776926,11.696428571428571
5.0,0.8064516129032258,SE1,0.6201716738197425,0.6055363321799307,29.080994874508605,4.776859504132231
5.0,0.8064516129032258,SE2,0.5579399141630901,0.5948717948717949,14.822250097896616,2.5657894736842106
8.0,1.2903225806451613,neg_control,0.4493067590987868,0.6142719382835101,8.308078626575949,2.033333333333333
8.0,1.2903225806451613,S-UNT,0.7430315789473684,0.651782172607242,120.32556118065865,17.915736040609136
8.0,1.2903225806451613,SLN1,0.7393483709273183,0.6419491525423728,56.27472067305529,8.74074074074074
8.0,1.2903225806451613,SLHi,0.7300613496932515,0.6448179271708684,79.21664881190465,12.704626334519572
8.0,1.2903225806451613,SE1,0.6759656652360515,0.638095238095238,30.85753063927488,5.163934426229508
8.0,1.2903225806451613,SE2,0.6108726752503576,0.629976580796253,15.690684377420888,2.7371794871794872
12.0,1.935483870967742,neg_control,0.49393414211438474,0.6491228070175439,8.858199355669239,2.134831460674157
12.0,1.935483870967742,S-UNT,0.794021052631579,0.6731360695725952,126.7690770023003,19.125760649087223
12.0,1.935483870967742,SLN1,0.7838345864661654,0.6606714628297362,58.10484805746691,9.13138686131387
12.0,1.935483870967742,SLHi,0.7768916155419223,0.6654382732297973,83.08795418903104,13.47163120567376
12.0,1.935483870967742,SE1,0.7162017167381974,0.6584269662921348,32.662206705837676,5.471311475409836
12.0,1.935483870967742,SE2,0.630901287553648,0.6417233560090703,16.100972097172917,2.8089171974522293
20.0,3.225806451612903,neg_control,0.5480935875216638,0.68300395256917,9.633008252608887,2.279279279279279
20.0,3.225806451612903,S-UNT,0.8466105263157895,0.6923956830954394,133.41757203481225,20.392494929006084
20.0,3.225806451612903,SLN1,0.8302005012531328,0.6792452830188679,60.91429590929294,9.671532846715328
20.0,3.225806451612903,SLHi,0.8263803680981595,0.6854738926008414,87.13721522275645,14.329787234042554
20.0,3.225806451612903,SE1,0.759656652360515,0.6765536723163842,33.81511390214623,5.709677419354839
20.0,3.225806451612903,SE2,0.6580829756795422,0.6565217391304348,16.294178246230526,2.875
30.0,4.838709677419355,neg_control,0.6026863084922011,0.7117181883537024,10.396637174659634,2.423344947735192
30.0,4.838709677419355,S-UNT,0.8819789473684211,0.7043013319329737,137.66169294932286,21.22289766970618
30.0,4.838709677419355,SLN1,0.8580827067669173,0.6896677619569186,62.31313076483111,9.96
30.0,4.838709677419355,SLHi,0.8652351738241308,0.6995982037343418,89.814307043283,14.950530035335689
30.0,4.838709677419355,SE1,0.7875536480686696,0.6880108991825613,34.703961346566764,5.872
30.0,4.838709677419355,SE2,0.6866952789699571,0.6708333333333333,16.657961605453714,2.9447852760736195
50.0,8.064516129032258,neg_control,0.6941074523396881,0.7496878901373284,11.390933497326376,2.665557404326123
50.0,8.064516129032258,S-UNT,0.9264842105263158,0.7181421559716415,142.4989886851523,22.293819655521784
50.0,8.064516129032258,SLN1,0.8959899749373433,0.7024475524475524,64.12955849824134,10.36231884057971
50.0,8.064516129032258,SLHi,0.9085889570552147,0.7134818816115237,92.80113807792642,15.644366197183098
50.0,8.064516129032258,SE1,0.8320815450643777,0.7034171502256609,36.16169312365897,6.154761904761905
50.0,8.064516129032258,SE2,0.7153075822603719,0.684,16.899013170534168,3.0120481927710845
80.0,12.903225806451612,neg_control,0.798526863084922,0.7818773738469886,12.051284421422535,2.893249607535322
80.0,12.903225806451612,S-UNT,0.9633684210526315,0.7287587412587413,146.08691882644897,23.157894736842106
80.0,12.903225806451612,SLN1,0.9401629072681704,0.716427857380873,65.01627843677292,10.641843971631205
80.0,12.903225806451612,SLHi,0.9443762781186094,0.7243395409268082,95.30984620127919,16.260563380281692
80.0,12.903225806451612,SE1,0.878755364806867,0.7191697191697192,37.54537384729019,6.423529411764706
80.0,12.903225806451612,SE2,0.7496423462088698,0.6984732824427481,17.0402486225059,3.064327485380117
120.0,19.35483870967742,neg_control,0.8968804159445407,0.8057971014492754,12.838310273951379,3.0849478390461997
120.0,19.35483870967742,S-UNT,0.9855578947368421,0.7348229162216431,148.17136736718294,23.691295546558706
120.0,19.35483870967742,SLN1,0.9714912280701754,0.7255723960012899,66.10148038197698,10.919014084507042
120.0,19.35483870967742,SLHi,0.9752556237218813,0.7330677290836654,97.59107941061735,16.79225352112676
120.0,19.35483870967742,SE1,0.9302575107296137,0.734717416378316,38.47144402306323,6.6692307692307695
120.0,19.35483870967742,SE2,0.8068669527896996,0.7198581560283688,17.620257493997784,3.168539325842697
160.0,25.806451612903224,neg_control,0.9350086655112652,0.8137164040778498,13.20414579396288,3.1735294117647057
160.0,25.806451612903224,S-UNT,0.9939789473684211,0.7370695132799593,148.77208161891826,23.869565217391305
160.0,25.806451612903224,SLN1,0.9833959899749374,0.7288945524052246,66.73337856293472,11.05281690140845
160.0,25.806451612903224,SLHi,0.9895705521472392,0.7369291175862781,98.4707429107103,17.038732394366196
160.0,25.806451612903224,SE1,0.9549356223175965,0.7415730337078652,39.04160533139723,6.768060836501901
160.0,25.806451612903224,SE2,0.8497854077253219,0.734006734006734,17.868595442251227,3.176470588235294
200.0,32.25806451612903,neg_control,0.9657712305025996,0.819650067294751,13.480931780037581,3.2304347826086954
200.0,32.25806451612903,S-UNT,0.9973473684210526,0.7379575294465318,149.0361859506639,23.950455005055613
200.0,32.25806451612903,SLN1,0.9940476190476191,0.7317995587771825,66.86387428555797,11.133333333333333
200.0,32.25806451612903,SLHi,0.9948875255623721,0.7383350462487153,98.47830724798538,17.07017543859649
200.0,32.25806451612903,SE1,0.9737124463519313,0.7465564738292011,39.24532414966423,6.849056603773585
200.0,32.25806451612903,SE2,0.8869814020028612,0.7451612903225806,18.497371415849212,3.263157894736842
