condition,group,stem,n_sickle,n_cells,polymer_length_um,polymer_um_per_100_cells,polymer_um_per_100_sickle_cells
ALHi,neg_control,E6_03_1_1_Bright Field_002,1,91,7.892515872525443,8.673094365412576,789.2515872525444
ALHi,neg_control,E6_03_1_2_Bright Field_001,0,45,9.511838670972326,21.13741926882739,
ALHi,neg_control,E6_03_1_2_Bright Field_002,0,70,0.0,0.0,
ALHi,neg_control,E6_03_1_3_Bright Field_001,0,66,7.918108652157365,11.997134321450552,
ALHi,neg_control,E6_03_1_3_Bright Field_002,1,121,2.198846835107195,1.8172287893447892,219.8846835107195
ALHi,neg_control,E6_03_1_4_Bright Field_001,0,90,7.709412006819922,8.566013340911024,
ALHi,neg_control,E6_03_1_4_Bright Field_002,0,75,9.955138269304527,13.273517692406037,
ALHi,neg_control,E6_03_1_5_Bright Field_001,0,48,1.7990901393242442,3.7481044569255086,
ALHi,neg_control,E6_03_1_5_Bright Field_002,1,77,18.90532053467491,24.552364330746638,1890.532053467491
ALHi,neg_control,E6_03_1_6_Bright Field_001,1,45,0.0,0.0,0.0
ALHi,neg_control,E6_03_1_6_Bright Field_002,2,47,3.872175997712248,8.238672335557974,193.6087998856124
ALHi,neg_control,E6_03_1_7_Bright Field_001,0,64,4.413223277724463,6.895661371444474,
ALHi,neg_control,E6_03_1_7_Bright Field_002,1,61,12.108056494387125,19.849272941618235,1210.8056494387124
ALHi,neg_control,E6_03_1_8_Bright Field_001,1,80,2.1670456136327605,2.7088070170409506,216.70456136327604
ALHi,neg_control,E6_03_1_8_Bright Field_002,4,80,17.9441028540374,22.430128567546753,448.602571350935
ALHi,neg_control,E6_03_1_9_Bright Field_001,1,51,0.0,0.0,0.0
ALHi,neg_control,E6_03_1_9_Bright Field_002,0,83,2.383458581624333,2.871636845330522,
ALHi,neg_control,E7_03_1_10_Bright Field_001,0,39,6.782056561970897,17.3898886204382,
ALHi,neg_control,E7_03_1_10_Bright Field_002,0,49,12.69324116612433,25.904573808417002,
ALHi,neg_control,E7_03_1_11_Bright Field_001,2,49,10.686373506821749,21.808925524126018,534.3186753410874
ALHi,neg_control,E7_03_1_11_Bright Field_002,1,59,30.837682004147354,52.26725763414806,3083.7682004147355
ALHi,neg_control,E7_03_1_12_Bright Field_001,0,91,13.222863438984513,14.530619163719246,
ALHi,neg_control,E7_03_1_12_Bright Field_002,2,77,9.06923705629631,11.77822994324196,453.4618528148155
ALHi,neg_control,E7_03_1_13_Bright Field_001,2,62,8.916138562574904,14.380868649314362,445.8069281287452
ALHi,neg_control,E7_03_1_13_Bright Field_002,0,70,0.0,0.0,
ALHi,neg_control,E7_03_1_14_Bright Field_001,1,44,0.0,0.0,0.0
ALHi,neg_control,E7_03_1_14_Bright Field_002,0,76,4.433989543021952,5.834196767134148,
ALHi,neg_control,E7_03_1_15_Bright Field_001,0,46,7.0215282086377115,15.264191757908067,
ALHi,neg_control,E7_03_1_15_Bright Field_002,0,81,6.9376213318437205,8.564964607214469,
ALHi,neg_control,E7_03_1_16_Bright Field_001,1,75,10.663772831521916,14.218363775362556,1066.3772831521917
ALHi,neg_control,E7_03_1_16_Bright Field_002,1,81,16.297781260432217,20.12071760547187,1629.7781260432216
ALHi,neg_control,E7_03_1_1_Bright Field_001,0,63,28.717671214703472,45.58360510270393,
ALHi,neg_control,E7_03_1_1_Bright Field_002,1,114,29.700854258422144,26.05338092844048,2970.0854258422146
ALHi,neg_control,E7_03_1_2_Bright Field_001,1,52,0.0,0.0,0.0
ALHi,neg_control,E7_03_1_2_Bright Field_002,0,60,0.0,0.0,
ALHi,neg_control,E7_03_1_3_Bright Field_001,0,47,0.0,0.0,
ALHi,neg_control,E7_03_1_3_Bright Field_002,1,78,6.985562618030088,8.955849510294986,698.5562618030089
ALHi,neg_control,E7_03_1_4_Bright Field_001,0,62,13.517681764145296,21.802712522814993,
ALHi,neg_control,E7_03_1_4_Bright Field_002,0,73,9.729156982323,13.327612304552055,
ALHi,neg_control,E7_03_1_5_Bright Field_001,0,54,2.432181707860625,4.504040199741898,
ALHi,neg_control,E7_03_1_5_Bright Field_002,1,84,22.207210986803396,26.437155936670713,2220.7210986803398
ALHi,neg_control,E7_03_1_6_Bright Field_001,0,36,2.1108052755057134,5.86334798751587,
ALHi,neg_control,E7_03_1_6_Bright Field_002,1,77,3.827108493526584,4.9702707708137455,382.7108493526584
