threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
0.16,neg_control,0.8570650694255377,0.5743329097839899,19.046346934467707,14.574074074074074
0.16,S-UNT,0.9085542039738879,0.6508176446337777,169.69361835491796,51.349798387096776
0.16,SLN1,0.8946381288614298,0.6211616722160562,79.17865013477399,28.15625
0.16,SLHi,0.9067391662547372,0.6431037615845903,113.74338108038904,38.21527777777778
0.16,SE1,0.880680930813681,0.632026955133889,45.69599687363437,19.57986111111111
0.16,SE2,0.874201143625967,0.5948441708349365,17.16834981314215,9.119298245614035
0.28,neg_control,0.8570650694255377,0.5743329097839899,19.046346934467707,14.574074074074074
0.28,S-UNT,0.9085542039738879,0.6508176446337777,169.69361835491796,51.349798387096776
0.28,SLN1,0.8946381288614298,0.6211616722160562,79.17865013477399,28.15625
0.28,SLHi,0.9067391662547372,0.6431037615845903,113.74338108038904,38.21527777777778
0.28,SE1,0.880680930813681,0.632026955133889,45.69599687363437,19.57986111111111
0.28,SE2,0.874201143625967,0.5948441708349365,17.16834981314215,9.119298245614035
0.4,neg_control,0.6815273618295671,0.6069110156796165,18.036269895991058,11.58912037037037
0.4,S-UNT,0.8117218991902401,0.6695891012964184,167.8443951834365,45.877016129032256
0.4,SLN1,0.787180052956752,0.6374211632796075,78.03537105481148,24.774305555555557
0.4,SLHi,0.8087823364639973,0.6620148721605379,112.34629091129295,34.08680555555556
0.4,SE1,0.7494924254255818,0.657220254219629,44.86291329622312,16.721254355400696
0.4,SE2,0.7130844265052136,0.6193396226415094,16.774217424108066,7.5177304964539005
0.52,neg_control,0.6027089572556493,0.6237154150197628,17.407734642491892,10.26071842410197
0.52,S-UNT,0.767755859165983,0.680102218608433,166.6465906125529,43.39213709677419
0.52,SLN1,0.7319064430714917,0.6504371419957793,77.19380214597207,23.03472222222222
0.52,SLHi,0.7605042016806722,0.6729498429205937,111.36291557155022,32.052083333333336
0.52,SE1,0.6838981727315321,0.6681890842658141,44.1541512736039,15.257839721254355
0.52,SE2,0.6367305751765893,0.6339144215530903,16.443390321955594,6.736654804270462
0.641,neg_control,0.4908793901442962,0.6507210205213533,16.402045994783833,8.386046511627907
