threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
2.0,neg_control,0.24876736889287315,0.7189189189189189,2.6099895246239484,1.4566929133858268
2.0,S-UNT,0.11472920533153366,0.74375,5.5966864348924705,3.115693012600229
2.0,SLN1,0.12480302552789159,0.7550505050505051,3.6521342712378604,2.0307692307692307
2.0,SLHi,0.1250770178681454,0.7208538587848933,4.864418901485032,2.6946902654867255
2.0,SE1,0.14584479911942763,0.7056603773584905,2.9029199402308112,1.6158536585365855
2.0,SE2,0.1629032258064516,0.6138613861386139,2.3332989174938716,1.294871794871795
4.01,neg_control,0.7077543702375616,0.7751741608613046,6.111709742462731,2.530448717948718
4.01,S-UNT,0.46726843259659184,0.7690918938436541,29.497154162408755,11.258130081300813
4.01,SLN1,0.4973211471793256,0.7623574144486692,14.702151815905099,5.635714285714286
4.01,SLHi,0.4906551653316903,0.7634993721222268,22.083348423310284,8.532142857142857
4.01,SE1,0.5283434232250963,0.7541666666666667,9.839914519197306,3.8247011952191237
4.01,SE2,0.5274193548387097,0.7431192660550459,5.007793137907634,2.0185185185185186
6.02,neg_control,0.8395338413267593,0.797650827549386,7.90589444509301,2.8293051359516617
6.02,S-UNT,0.6573730386367471,0.7700352903432788,51.83981498424993,15.790273556231003
6.02,SLN1,0.6775921840529467,0.7590697674418605,24.38856476975373,7.570422535211268
6.02,SLHi,0.6777572396796057,0.7636363636363637,37.599110618217004,11.619718309859154
6.02,SE1,0.6984039625756742,0.7667454688731284,15.23672129990089,4.862068965517241
6.02,SE2,0.7048387096774194,0.7528604118993135,7.521902993228448,2.4277777777777776
8.03,neg_control,0.8991483639623488,0.8050847457627118,9.082250410864265,2.9630723781388477
8.03,S-UNT,0.7674624599291379,0.7636163781258588,70.13771520627151,18.41599190283401
8.03,SLN1,0.7803340687046959,0.7552504038772213,32.40522715751935,8.71830985915493
8.03,SLHi,0.7913329225713699,0.7583701012198287,50.913243879285105,13.519298245614035
