group,n_FOVs,n_cells_total,n_sickle_total,polymer_total_um,sickle_frac,sickle_frac_lo,sickle_frac_hi,um_per_sickle,um_per_sickle_lo,um_per_sickle_hi
neg_control,864,61814,554,9301.842928225931,0.0089623709839195,0.008003949431462563,0.010013928941420707,16.790330195353665,14.42823825002737,19.652471096900275
S-UNT,992,96324,4845,147396.7879052066,0.050298990905693286,0.04862800067302096,0.05197160029045042,30.422453644005493,29.51332169239061,31.293113959877697
SLN1,288,20005,687,19056.204171384023,0.034341414646338414,0.03169003005561072,0.03674218881355562,27.73828845907427,25.77905984495534,29.839208965304316
SLHi,288,22555,1037,28066.31756567584,0.045976501884282865,0.043100256427504195,0.04867629794961653,27.064915685319036,25.443088155500902,28.891255890304773
SE1,288,10935,409,10400.010899661022,0.03740283493369913,0.03367423165902589,0.041533529367429226,25.427899510173646,22.63172601292674,28.362977704260715
SE2,288,3730,164,3514.5005690113503,0.04396782841823056,0.03700694439652495,0.05054344857974357,21.429881518361892,17.966700466503198,25.800718020748437
