class,loop_0 (pre-HITL baseline)__recall,loop_0 (pre-HITL baseline)__precision,loop_0 (pre-HITL baseline)__f1,loop_5 (after HITL)__recall,loop_5 (after HITL)__precision,loop_5 (after HITL)__f1
polymer,0.5022109145853701,0.7387438918759908,0.5979351442158243,0.5878588569904898,0.7010068892421834,0.6394663057140094
background,0.9862880423842887,0.9697813219459975,0.9779650343743754,0.9801179332186563,0.9767364196790681,0.9784242547613586
cell body,0.9599523455164716,0.881612383661673,0.9191160778910886,0.9426750908726638,0.908515716426443,0.9252802381739157
cell boundary,0.7539257929814087,0.9055215903286041,0.8227993124898496,0.8180638629227466,0.8618412888472502,0.8393821677823278
