polymer_idx,grid_row,grid_col,jpg_filename,source_stem,eval_h,eval_w,eval_diag_px,manual_len_px,was_clipped,start_xy_raw,end_xy_raw,start_xy_clipped,end_xy_clipped
132,8,9,K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,K20_03_1_3_Bright Field_001,64,64,90.50966799187809,14.142135623730951,False,"[2459.5, 2162.5]","[2461.5, 2148.5]","[2459.5, 2162.5]","[2461.5, 2148.5]"
133,8,9,K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,K20_03_1_3_Bright Field_001,64,64,90.50966799187809,18.384776310850235,False,"[2437.5, 2192.5]","[2420.5, 2185.5]","[2437.5, 2192.5]","[2420.5, 2185.5]"
134,9,9,K20_03_1_9_Bright Field_002__y1449_x817_h106_w106.jpg,K20_03_1_9_Bright Field_002,106,106,149.90663761154806,36.83445868936823,True,"[2482.5, 2412.5]","[2466.5, 2377.5]","[2482.5, 2412.5]","[2467.1857142857143, 2379.0]"
135,9,9,K20_03_1_9_Bright Field_002__y1449_x817_h106_w106.jpg,K20_03_1_9_Bright Field_002,106,106,149.90663761154806,90.76735656474457,True,"[2485.5, 2438.5]","[2394.5, 2431.5]","[2485.0, 2438.4615384615386]","[2394.5, 2431.5]"
136,8,8,K20_03_1_1_Bright Field_002__y652_x284_h128_w128.jpg,K20_03_1_1_Bright Field_002,128,128,181.01933598375618,93.74433316206373,False,"[2200.5, 2213.5]","[2148.5, 2135.5]","[2200.5, 2213.5]","[2148.5, 2135.5]"
137,8,7,K20_03_1_14_Bright Field_001__y713_x782_h128_w128.jpg,K20_03_1_14_Bright Field_001,128,128,181.01933598375618,46.51881339845203,False,"[1936.5, 2228.5]","[1916.5, 2186.5]","[1936.5, 2228.5]","[1916.5, 2186.5]"
138,9,8,K20_03_1_9_Bright Field_001__y1512_x801_h127_w127.jpg,K20_03_1_9_Bright Field_001,127,127,179.60512242138307,94.86832980505137,False,"[2204.5, 2468.5]","[2150.5, 2390.5]","[2204.5, 2468.5]","[2150.5, 2390.5]"
139,9,8,K20_03_1_9_Bright Field_001__y1512_x801_h127_w127.jpg,K20_03_1_9_Bright Field_001,127,127,179.60512242138307,79.40403012442127,False,"[2203.5, 2479.5]","[2135.5, 2438.5]","[2203.5, 2479.5]","[2135.5, 2438.5]"
140,9,7,K20_03_1_8_Bright Field_002__y1028_x1666_h100_w100.jpg,K20_03_1_8_Bright Field_002,100,100,141.4213562373095,49.47726750741192,False,"[1914.5, 2407.5]","[1926.5, 2455.5]","[1914.5, 2407.5]","[1926.5, 2455.5]"
141,7,6,J20_03_1_5_Bright Field_001__y184_x417_h93_w93.jpg,J20_03_1_5_Bright Field_001,93,93,131.52186130069785,55.54277630799526,False,"[1697.5, 1931.5]","[1643.5, 1918.5]","[1697.5, 1931.5]","[1643.5, 1918.5]"
142,8,6,K20_03_1_11_Bright Field_002__y1163_x1031_h93_w93.jpg,K20_03_1_11_Bright Field_002,93,93,131.52186130069785,36.68787265568828,False,"[1687.5, 2169.5]","[1652.5, 2180.5]","[1687.5, 2169.5]","[1652.5, 2180.5]"
143,8,6,K20_03_1_11_Bright Field_002__y1163_x1031_h93_w93.jpg,K20_03_1_11_Bright Field_002,93,93,131.52186130069785,35.608987629529715,False,"[1683.5, 2181.5]","[1655.5, 2203.5]","[1683.5, 2181.5]","[1655.5, 2203.5]"
144,9,6,K20_03_1_7_Bright Field_001__y1534_x1146_h93_w93.jpg,K20_03_1_7_Bright Field_001,93,93,131.52186130069785,44.94441010848846,False,"[1683.5, 2421.5]","[1645.5, 2445.5]","[1683.5, 2421.5]","[1645.5, 2445.5]"
145,9,5,K20_03_1_6_Bright Field_001__y935_x516_h73_w73.jpg,K20_03_1_6_Bright Field_001,73,73,103.23759005323593,25.238858928247925,False,"[1416.5, 2418.5]","[1402.5, 2439.5]","[1416.5, 2418.5]","[1402.5, 2439.5]"
146,8,5,K20_03_1_11_Bright Field_001__y1163_x1048_h65_w65.jpg,K20_03_1_11_Bright Field_001,65,65,91.92388155425118,34.0147027033899,False,"[1415.5, 2183.5]","[1384.5, 2197.5]","[1415.5, 2183.5]","[1384.5, 2197.5]"
147,8,5,K20_03_1_11_Bright Field_001__y1163_x1048_h65_w65.jpg,K20_03_1_11_Bright Field_001,65,65,91.92388155425118,24.0,False,"[1420.5, 2176.5]","[1396.5, 2176.5]","[1420.5, 2176.5]","[1396.5, 2176.5]"
148,7,5,J20_03_1_4_Bright Field_002__y787_x1049_h67_w67.jpg,J20_03_1_4_Bright Field_002,67,67,94.75230867899737,32.84456766346605,True,"[1383.5, 1928.5]","[1408.5, 1956.5]","[1383.5, 1928.5]","[1405.375, 1953.0]"
