jpg_filename,grid_row,grid_col,eval_h,eval_w,polymer_idx,manual_len_px,model_cc_id,model_skel_len_px,model_major_axis_px,centroid_distance_px
H20_03_1_15_Bright Field_001__y947_x86_h65_w65.jpg,3,6,65,65,39,15.0,1,7,18.369456993856495,1.5923036265116872
H20_03_1_14_Bright Field_001__y504_x257_h128_w128.jpg,3,5,128,128,40,20.615528128088304,3,22,23.993380229809357,4.862634768486916
H20_03_1_14_Bright Field_001__y504_x257_h128_w128.jpg,3,5,128,128,41,38.58756276314948,2,31,39.674023572459745,3.549609189382552
H20_03_1_14_Bright Field_001__y504_x257_h128_w128.jpg,3,5,128,128,42,96.17692030835673,1,83,101.79341729776559,1.5236495901974203
H20_03_1_12_Bright Field_002__y1494_x50_h64_w64.jpg,3,4,64,64,45,16.0312195418814,1,4,4.47213595499958,2.5
G21_03_1_5_Bright Field_002__y1153_x1324_h109_w109.jpg,2,4,109,109,44,60.00833275470999,1,58,69.22191340927725,4.475106495683401
G21_03_1_2_Bright Field_002__y100_x538_h128_w128.jpg,2,1,128,128,46,109.41663493271945,1,88,104.99904732934769,8.261672334751834
G21_03_1_3_Bright Field_001__y1144_x1282_h75_w75.jpg,2,2,75,75,47,20.248456731316587,2,26,29.103273095535084,1.174325244777299
G21_03_1_3_Bright Field_001__y1144_x1282_h75_w75.jpg,2,2,75,75,55,32.57299494980466,1,17,22.150479060263358,12.030014403041923
G21_03_1_3_Bright Field_001__y1144_x1282_h75_w75.jpg,2,2,75,75,56,21.787905129161835,3,20,23.158327785129206,1.266587637925396
G21_03_1_4_Bright Field_001__y1659_x1050_h69_w69.jpg,2,3,69,69,48,15.264337522473747,1,17,23.414601149131787,4.700396912872992
H20_03_1_12_Bright Field_001__y1559_x525_h99_w99.jpg,3,3,99,99,49,52.55473337388365,2,48,50.2145425866778,3.971713747055164
H20_03_1_12_Bright Field_001__y1559_x525_h99_w99.jpg,3,3,99,99,58,16.278820596099706,1,7,11.821055939167602,4.0709107150104344
H20_03_1_11_Bright Field_002__y1664_x506_h77_w77.jpg,3,2,77,77,51,26.92582403567252,2,17,24.83872916831606,2.782006360822583
H20_03_1_11_Bright Field_002__y1664_x506_h77_w77.jpg,3,2,77,77,52,19.026297590440446,3,16,19.59838855525001,6.373370589789815
H20_03_1_11_Bright Field_002__y1664_x506_h77_w77.jpg,3,2,77,77,53,23.11353580026392,4,16,24.24024506679768,3.8799499442966576
H20_03_1_11_Bright Field_002__y1664_x506_h77_w77.jpg,3,2,77,77,57,18.729189744258942,5,12,17.820921264709476,3.9784056871237516
H20_03_1_11_Bright Field_001__y1452_x306_h101_w101.jpg,3,1,101,101,54,59.22837157984339,1,46,54.71173861884489,1.270212721930247
H20_03_1_11_Bright Field_001__y1452_x306_h101_w101.jpg,3,1,101,101,59,9.336899161413992,3,6,8.73455242621133,2.842203845122687
