group,n_FOVs,n_cells_total,n_sickle_total,polymer_total_um,sickle_frac,sickle_frac_lo,sickle_frac_hi,um_per_sickle,um_per_sickle_lo,um_per_sickle_hi
neg_control,864,61814,554,4496.038631326813,0.0089623709839195,0.008003949431462563,0.010013928941420707,8.115593197340818,6.948022094840432,9.509847890084178
S-UNT,992,96324,4845,122429.49033210782,0.050298990905693286,0.04862800067302096,0.05197160029045042,25.269244650589847,24.51865696738344,26.022003131860245
SLN1,288,20005,687,15627.846105756362,0.034341414646338414,0.03169003005561072,0.03674218881355562,22.74795648581712,21.149875394097123,24.53804388350181
SLHi,288,22555,1037,22998.01823380017,0.045976501884282865,0.043100256427504195,0.04867629794961653,22.177452491610577,20.80587968827468,23.695667262790202
SE1,288,10935,409,7820.040905945035,0.03740283493369913,0.03367423165902589,0.041533529367429226,19.11990441551353,17.19378475927313,21.124937593872833
SE2,288,3730,164,2506.2215515705966,0.04396782841823056,0.03700694439652495,0.05054344857974357,15.281838729089003,12.656801483351842,18.305630886373002
